Library	Sample	Eye	Treatment
1	DC0053L	L	PULSED
2	DC0053R	R	PULSED
3	DS0138L	L	CONTROL
4	DS0138R	R	CONTROL
5	DX0088L	L	PULSED
6	DX0088R	R	PULSED
7	FI0058L	L	CONTROL
8	FI0058R	R	CONTROL
9	HN0056L	L	CONTROL
10	HN0056R	R	CONTROL
11	HZ0207L	L	PULSED
12	HZ0207R	R	PULSED
13	JQ0063L	L	PULSED
14	JQ0063R	R	PULSED
15	OJ0128L	L	PULSED
16	OJ0128R	R	PULSED
17	QI0167L	L	CONTROL
18	QI0167R	R	CONTROL
19	QM0198L	L	CONTROL
20	QM0198R	R	CONTROL
21	XL0070L	L	CONTROL
22	XL0070R	R	CONTROL
23	ZT0176L	L	PULSED
24	ZT0176R	R	PULSED

